cpu,num_downloads,python_version,pip_version,glibc_version,pip-major,pip-minor,glibc_major,glibc_minor,manylinux_2_27,manylinux_2_24,manylinux2014,manylinux2010,manylinux1,policy
x86_64,77,2.7,20.3b1,2.26,20,3,2,26,FALSE,TRUE,FALSE,FALSE,FALSE,manylinux_2_24
armv7l,77,3.7,20.1,2.23,20,1,2,23,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
s390x,77,3.8,19.2,2.22,19,2,2,22,FALSE,FALSE,FALSE,TRUE,FALSE,manylinux2010
s390x,77,2.7,18.1,2.17,18,1,2,17,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
aarch64,77,2.7,8.1,2.7,8,1,2,7,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
i686,77,3.5,20.3,2.15,20,3,2,15,FALSE,FALSE,FALSE,TRUE,FALSE,manylinux2010
ppc64le,76,3.5,9.0,2.17,9,0,2,17,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
armv7l,76,2.7,9.0,2.20-2014,9,0,2,20,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
mips,76,3.8,20.2,2.27,20,2,2,27,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
i686,76,2.7,20.2,2.15,20,2,2,15,FALSE,FALSE,FALSE,TRUE,FALSE,manylinux2010
ppc64le,75,3.9,21.0,2.33,21,0,2,33,TRUE,FALSE,FALSE,FALSE,FALSE,manylinux_2_27
aarch64,75,2.7,20.2,2.32,20,2,2,32,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
i686,75,3.3,9.0,2.12,9,0,2,12,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
i686,75,3.9,20.3,2.31,20,3,2,31,TRUE,FALSE,FALSE,FALSE,FALSE,manylinux_2_27
armv6l,75,2.7,20.2,2.28,20,2,2,28,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
